# begin end del_t c_t c_s c_E signif seg_begin seg_eng cbc burst stoch
9.310545576821289062e+08 9.310550251015625000e+08 4.674194335937500000e+02 9.310548167542142868e+08 2.916666666666666519e+00 4.463932083144526075e+01 inf 9.310527080000000000e+08 9.310550960000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.310527777187500000e+08 9.310532701093750000e+08 4.923906250000000000e+02 9.310530681033747196e+08 2.615384615384615419e+00 6.089337064443937919e+01 inf 9.310527080000000000e+08 9.310550960000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.310533771796875000e+08 9.310538418906250000e+08 4.647109375000000000e+02 9.310535930258324146e+08 2.571428571428571619e+00 2.808678568911926376e+01 2.003439217869312472e+02 9.310527080000000000e+08 9.310550960000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.310538562607421875e+08 9.310544547255859375e+08 5.984648437500000000e+02 9.310540985993041992e+08 3.437500000000000000e+00 2.916494585450339017e+01 2.344016463773114083e+02 9.310527080000000000e+08 9.310550960000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.310779154140625000e+08 9.310780118632812500e+08 9.644921875000000000e+01 9.310780041339271069e+08 2.445652173913043459e+00 4.705926748818713889e+01 inf 9.310768960000000000e+08 9.310784220000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.310769135156250000e+08 9.310771179833984375e+08 2.044677734375000000e+02 9.310770289733743668e+08 2.235294117647058876e+00 3.001357439039590957e+01 2.230720685133974257e+02 9.310768960000000000e+08 9.310784220000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.310772964531250000e+08 9.310774791093750000e+08 1.826562500000000000e+02 9.310774518692382574e+08 2.299999999999999822e+00 2.715940314475811945e+01 8.628861782444435846e+01 9.310768960000000000e+08 9.310784220000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.310781769375000000e+08 9.310783802861328125e+08 2.033486328125000000e+02 9.310782694213867188e+08 2.250000000000000000e+00 2.834092985943899023e+01 1.009371029922817797e+02 9.310768960000000000e+08 9.310784220000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.310775907431640625e+08 9.310777163125000000e+08 1.255693359375000000e+02 9.310777075033203363e+08 2.799999999999999822e+00 2.581597086715625622e+01 4.802950271276029781e+01 9.310768960000000000e+08 9.310784220000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.310789676459960938e+08 9.310790784570312500e+08 1.108110351562500000e+02 9.310790231845296621e+08 2.666666666666666519e+00 2.808882295302475640e+01 1.476548476026862886e+02 9.310785160000000000e+08 9.310794040000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.310786858437500000e+08 9.310787203583984375e+08 3.451464843750000000e+01 9.310787117457829714e+08 3.090909090909090828e+00 2.932570618416860597e+01 1.423466320689374811e+02 9.310785160000000000e+08 9.310794040000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.310791562832031250e+08 9.310791562836914062e+08 4.882812500000000000e-04 9.310791729781494141e+08 2.500000000000000000e+00 2.912909177204461386e+01 4.262907357883289450e+01 9.310785160000000000e+08 9.310794040000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.310785498579101562e+08 9.310785947397460938e+08 4.488183593750000000e+01 9.310785835187988281e+08 2.000000000000000000e+00 2.740964120837313800e+01 5.079716972319143764e+01 9.310785160000000000e+08 9.310794040000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.310792230625000000e+08 9.310792821093750000e+08 5.904687500000000000e+01 9.310792525859375000e+08 5.500000000000000000e+00 2.992097335220612564e+01 2.992098019378318696e+01 9.310785160000000000e+08 9.310794040000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.310819713300781250e+08 9.310839130000000000e+08 1.941669921875000000e+03 9.310825143526155949e+08 3.119402985074626766e+00 7.424310655824064042e+01 inf 9.310806170000000000e+08 9.310839560000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.310806293437500000e+08 9.310816570000000000e+08 1.027656250000000000e+03 9.310808422030367851e+08 2.347222222222222321e+00 2.938464140295231175e+01 inf 9.310806170000000000e+08 9.310839560000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.310822302343750000e+08 9.310822302451171875e+08 1.074218750000000000e-02 9.310822302283064127e+08 2.571428571428571619e+00 9.062913587792777435e+02 inf 9.310806170000000000e+08 9.310839560000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.310848770000000000e+08 9.310851678408203125e+08 2.908408203125000000e+02 9.310849425644910336e+08 3.165048543689320315e+00 3.225748069810784102e+01 inf 9.310848770000000000e+08 9.310858950000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.310853151562500000e+08 9.310855895625000000e+08 2.744062500000000000e+02 9.310854597590535879e+08 3.166666666666666519e+00 9.128345039714692177e+01 inf 9.310848770000000000e+08 9.310858950000000000e+08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
